player2,round,player1,gender,file,tournament,date
Daria Kasatkina,R64,Aryna Sabalenka,W,20210210-W-Australian_Open-R64-Aryna_Sabalenka-Daria_Kasatkina.html,Australian Open,2021-02-10
Aryna Sabalenka,R32,Ann Li,W,20210212-W-Australian_Open-R32-Ann_Li-Aryna_Sabalenka.html,Australian Open,2021-02-12
Aryna Sabalenka,R16,Serena Williams,W,20210214-W-Australian_Open-R16-Serena_Williams-Aryna_Sabalenka.html,Australian Open,2021-02-14
Garbine Muguruza,R16,Aryna Sabalenka,W,20210303-W-Doha-R16-Aryna_Sabalenka-Garbine_Muguruza.html,Doha,2021-03-03
Aryna Sabalenka,R32,Alize Cornet,W,20210309-W-Dubai-R32-Alize_Cornet-Aryna_Sabalenka.html,Dubai,2021-03-09
Anett Kontaveit,R16,Aryna Sabalenka,W,20210310-W-Dubai-R16-Aryna_Sabalenka-Anett_Kontaveit.html,Dubai,2021-03-10
Garbine Muguruza,QF,Aryna Sabalenka,W,20210311-W-Dubai-QF-Aryna_Sabalenka-Garbine_Muguruza.html,Dubai,2021-03-11
Tsvetana Pironkova,R64,Aryna Sabalenka,W,20210325-W-Miami-R64-Aryna_Sabalenka-Tsvetana_Pironkova.html,Miami,2021-03-25
Veronika Kudermetova,R32,Aryna Sabalenka,W,20210327-W-Miami-R32-Aryna_Sabalenka-Veronika_Kudermetova.html,Miami,2021-03-27
Marketa Vondrousova,R16,Aryna Sabalenka,W,20210329-W-Miami-R16-Aryna_Sabalenka-Marketa_Vondrousova.html,Miami,2021-03-29
Ashleigh Barty,QF,Aryna Sabalenka,W,20210330-W-Miami-QF-Aryna_Sabalenka-Ashleigh_Barty.html,Miami,2021-03-30
Aryna Sabalenka,R32,Shuai Zhang,W,20210420-W-Stuttgart-R32-Shuai_Zhang-Aryna_Sabalenka.html,Stuttgart,2021-04-20
Aryna Sabalenka,R16,Anna Lena Friedsam,W,20210422-W-Stuttgart-R16-Anna_Lena_Friedsam-Aryna_Sabalenka.html,Stuttgart,2021-04-22
Anett Kontaveit,QF,Aryna Sabalenka,W,20210423-W-Stuttgart-QF-Aryna_Sabalenka-Anett_Kontaveit.html,Stuttgart,2021-04-23
Simona Halep,SF,Aryna Sabalenka,W,20210424-W-Stuttgart-SF-Aryna_Sabalenka-Simona_Halep.html,Stuttgart,2021-04-24
Ashleigh Barty,F,Aryna Sabalenka,W,20210425-W-Stuttgart-F-Aryna_Sabalenka-Ashleigh_Barty.html,Stuttgart,2021-04-25
Vera Zvonareva,R64,Aryna Sabalenka,W,20210430-W-Madrid-R64-Aryna_Sabalenka-Vera_Zvonareva.html,Madrid,2021-04-30
Daria Kasatkina,R32,Aryna Sabalenka,W,20210502-W-Madrid-R32-Aryna_Sabalenka-Daria_Kasatkina.html,Madrid,2021-05-02
Jessica Pegula,R16,Aryna Sabalenka,W,20210504-W-Madrid-R16-Aryna_Sabalenka-Jessica_Pegula.html,Madrid,2021-05-04
