rank,player,country,points,wins,losses,win_pct,titles,elo
206,Patrice Hagelauer,FRA,—,2,4,33.3%,0,"1,492"
206,Jun Kamiwazumi,JPN,—,1,10,9.1%,0,"1,517"
206,Tenny Svensson,SWE,—,1,11,8.3%,0,"1,388"
206,Matt Mitchell,USA,—,0,1,0.0%,0,"1,482"
210,Heinz Gunthardt,SUI,0,1,4,20.0%,0,"1,497"
211,Mike Wayman,GBR,—,3,3,50.0%,0,"1,529"
211,Gianni Ocleppo,ITA,—,2,4,33.3%,0,"1,498"
211,Jim Osborne,USA,—,2,2,50.0%,0,"1,571"
211,Enrique Caviglia,ARG,—,1,4,20.0%,0,"1,478"
215,Charlie Owens,USA,—,6,6,50.0%,0,"1,639"
215,Bruce Manson,USA,—,3,6,33.3%,0,"1,498"
215,Alejandro Pierola,CHI,—,2,2,50.0%,0,"1,517"
215,Larry Gottfried,USA,—,2,3,40.0%,0,"1,522"
215,Mal Anderson,AUS,—,2,3,40.0%,0,"1,715"
215,David Lloyd,GBR,—,1,4,20.0%,0,"1,464"
215,Szabolcz Baranyi,HUN,—,1,3,25.0%,0,"1,599"
215,Ulrich Marten,GER,—,1,6,14.3%,0,"1,467"
215,Robert Machan,HUN,—,0,1,0.0%,0,"1,561"
225,Milan Holecek,CZE,—,2,7,22.2%,0,"1,511"
225,Ulf Eriksson,SWE,—,1,3,25.0%,0,"1,443"
229,Armistead Neely,USA,—,1,3,25.0%,0,"1,445"
229,John Muller,RSA,—,1,0,100.0%,0,"1,511"
229,Bhanu Nunna,IND,—,0,5,0.0%,0,"1,443"
229,Jacques Thamin,FRA,—,0,6,0.0%,0,"1,412"
235,Peter Kanderal,SUI,—,4,3,57.1%,0,"1,566"
235,Christophe Casa,FRA,—,1,1,50.0%,0,"1,510"
235,Joao Soares,BRA,—,1,4,20.0%,0,"1,456"
235,Louk Sanders,NED,—,1,3,25.0%,0,"1,479"
239,Geza Varga,HUN,—,2,1,66.7%,0,"1,509"
239,Eliot Teltscher,USA,—,1,1,50.0%,0,"1,503"
239,Stephen Myers,AUS,—,1,1,50.0%,0,"1,442"
239,Van Winitsky,USA,—,1,2,33.3%,0,"1,527"
239,William Brown,USA,—,1,1,50.0%,0,"1,508"
239,Mike Fishbach,USA,—,0,1,0.0%,0,"1,446"
239,Rolf Gehring,GER,—,0,5,0.0%,0,"1,518"
248,Dale Collings,AUS,—,1,1,50.0%,0,"1,521"
248,Dennis Ralston,USA,—,1,9,10.0%,0,"1,545"
248,Gene Malin,USA,—,1,1,50.0%,0,"1,485"
248,Greg Halder,CAN,—,1,1,50.0%,0,"1,487"
248,Ion Tiriac,ROU,—,1,7,12.5%,0,"1,534"
248,Luis Felipe Tavares,BRA,—,1,2,33.3%,0,"1,492"
248,Mark Farrell,GBR,—,1,1,50.0%,0,"1,456"
248,Roberto Lombardi,ITA,—,1,2,33.3%,0,"1,471"
248,Roger Mckee,USA,—,1,1,50.0%,0,"1,500"
248,Stephen Warboys,GBR,—,1,1,50.0%,0,"1,511"
248,Woody Blocher,USA,—,1,2,33.3%,0,"1,400"
248,Ernie Ewert,AUS,—,0,3,0.0%,0,"1,433"
248,Janos Benyik,HUN,—,0,2,0.0%,0,"1,484"
248,John Holladay,USA,—,0,4,0.0%,0,"1,409"
248,Jose Castanon,ESP,—,0,6,0.0%,0,"1,395"
264,John McEnroe,USA,—,1,1,50.0%,0,"1,515"
264,Juan Torralbo,ESP,—,1,1,50.0%,0,"1,514"
264,Miguel Mir,ESP,—,1,4,20.0%,0,"1,459"
264,Christophe Roger-Vasselin,FRA,—,0,1,0.0%,0,"1,491"
264,Klaus Eberhard,GER,—,0,3,0.0%,0,"1,470"
264,Rafael Ruiz,ESP,—,0,1,0.0%,0,"1,473"
272,Bengt Lundstedt,SWE,0,1,1,50.0%,0,"1,498"
272,Frank Sedgman,AUS,—,1,2,33.3%,0,"1,576"
272,Peter Feigl,AUT,—,1,3,25.0%,0,"1,445"
272,Wanaro N'Godrella,FRA,—,1,2,33.3%,0,"1,550"
272,Alberto Martorell,ESP,—,0,2,0.0%,0,"1,453"
272,Bill Lofgren,USA,—,0,2,0.0%,0,"1,441"
272,Francisco Gonzalez,PAR,—,0,3,0.0%,0,"1,455"
272,Fred Stolle,AUS,—,0,1,0.0%,0,"1,754"
272,Howard Schoenfield,USA,0,0,1,0.0%,0,"1,461"
272,Max Hurlimann,SUI,—,0,2,0.0%,0,"1,475"
272,Randall King,HKG,—,0,2,0.0%,0,"1,481"
288,David Carter,AUS,—,1,1,50.0%,0,"1,541"
288,Jan Kukal,CZE,—,1,1,50.0%,0,"1,477"
